surface_m2,lien_site_parcours_bd,adres,dessinateur,commune_gemeente,adresse,naam_fresco_nl,date,nom_de_la_fresque,realisateur,link_site_striproute,image,maison_d_edition,coordonnees_geographiques
76.0,https://www.parcoursbd.brussels/fresques/solastalgie/,Victor Mabillestraat 6 - 1020 Laken,Eva Roussel,Laeken - Laken,Rue Victor Mabille 6 - 1020 Laeken,Solastalgie,2021,Solastalgie,Atelier 30,https://www.parcoursbd.brussels/nl/stripmuren/solastalgie/,https://www.parcoursbd.brussels/wp-content/uploads/2021/09/78_solastalgie_rue_victor_mabille_2-768x1024.jpeg,-,"[50.880820019187595, 4.343419245803001]"
25.0,https://www.parcoursbd.brussels/fresques/boule-et-bill/,Reebokstraat 19 - 1000 Brussel,Roba,Bruxelles - Brussel,Rue du Chevreuil 19 - 1000 Bruxelles,Bollie et Billie,1995,Boule et Bill,Art Mural,https://www.parcoursbd.brussels/nl/stripmuren/boule-et-bill/,https://www.parcoursbd.brussels/wp-content/uploads/2021/09/24_boule_bill_rue_chevreuil_01-683x1024.jpg,"Dupuis, Dargaud","[50.83777267313401, 4.345632824422562]"
43.0,https://www.parcoursbd.brussels/fresques/xiii/,Philippe de Champagnestraat 31 - 1000 Brussel,William Vance,Bruxelles - Brussel,Rue Philippe de Champagne 31 - 1000 Bruxelles,XIII,2010,XIII,Art Mural,https://www.parcoursbd.brussels/nl/stripmuren/xiii/,https://www.parcoursbd.brussels/wp-content/uploads/2021/09/41_XIII_rue_champagne_06-768x576.jpeg,Dargaud,"[50.84316023836639, 4.3482641487476625]"
140.0,https://www.parcoursbd.brussels/fresques/natacha/,Jan Bollenstraat 78 - 1020 Laken,François Walthéry,Laeken - Laken,Rue Jan Bollen 78 - 1020 Laeken,Natasja,2009,Natacha,Art Mural,https://www.parcoursbd.brussels/nl/stripmuren/natacha/,https://www.parcoursbd.brussels/wp-content/uploads/2021/09/43_natacha_rue_jan_bollen_04-768x1024.jpg,Dupuis,"[50.87885773938745, 4.346777914909096]"
45.0,https://www.parcoursbd.brussels/fresques/marsupilami/,Houba de Strooperlaan 141 - 1020 Laken,Franquin,Laeken - Laken,Avenue Houba de Strooper 141 - 1020 Laeken,Marsupilami,2013,Marsupilami,Farmprod,https://www.parcoursbd.brussels/nl/stripmuren/marsupilami/,https://www.parcoursbd.brussels/wp-content/uploads/2021/09/48_marsupilami_av_houba_strooper_03_vb-768x512.jpg,Marsu Productions,"[50.89044264458835, 4.337026517216916]"
15.7,https://www.parcoursbd.brussels/fresques/benoit-brisefer/,Hoogstraat 119 - 1000 Brussel,Peyo,Bruxelles - Brussel,Rue Haute 119 - 1000 Bruxelles,Steven Sterk,2015,Benoit Brisefer,Urbana,https://www.parcoursbd.brussels/nl/stripmuren/benoit-brisefer/,https://www.parcoursbd.brussels/wp-content/uploads/2021/09/50_benoit_brisefer_rue_haute_01-683x1024.jpg,IMPS,"[50.83910867046772, 4.350491770906541]"
47.0,https://www.parcoursbd.brussels/fresques/les-crocodiles/,Hoek Kanonstraat - Koolstraat - 1000 Brussel,T. Mathieu/J. Boutant,Bruxelles - Brussel,Angle rue du Canon et rue aux Choux - 1000 Bruxelles,Krokodillen,2020,Crocodiles,Urbana,https://www.parcoursbd.brussels/nl/stripmuren/les-crocodiles/,https://www.parcoursbd.brussels/wp-content/uploads/2021/09/60_crocodiles_rue_canon_06-768x576.jpeg,Casterman,"[50.85230486760386, 4.357504175055008]"
351.0,https://www.parcoursbd.brussels/fresques/les-ancetres-bienveillants/,Fonteinstraat - tunnel - 1000 Brussel,Fabienne Loodts,Bruxelles - Brussel,Rue de la Fontaine - tunnel - 1000 Bruxelles,De zorgzame voorouders,2019,Les ancêtres bienveillants,Urbana,https://www.parcoursbd.brussels/nl/stripmuren/les-ancetres-bienveillants/,https://www.parcoursbd.brussels/wp-content/uploads/2021/09/69_ancetres_bienveillants_tunnel_fontaine_06-768x511.jpg,-,"[50.83992346952685, 4.3434784869596825]"
99.0,https://www.parcoursbd.brussels/fresques/larbre/,Lombardsijdestraat 150 - 1120 Neder-Over-Heembeek,Maurane Mazars,Neder-Over-Heembeek,Rue de Lombartzyde 150 - 1120 Neder-Over-Heembeek,De Boom,2023,L'Arbre,Farmprod,https://www.parcoursbd.brussels/nl/stripmuren/larbre/,https://www.parcoursbd.brussels/wp-content/uploads/2023/07/20230616_113843-768x355.jpg,-,"[50.8930709484901, 4.375986673370388]"
71.0,https://www.parcoursbd.brussels/fresques/les-carnets-de-cerise/,Driegatenstraat 4 - 1120 Neder-Over-Heembeek,Aurélie Neyret,Neder-Over-Heembeek,Rue des Trois Pertuis 4 - 1120 Neder-Over-Heembeek,Het Dagboek van Cerise,2023,Les Carnets de Cerise,Urbana,https://www.parcoursbd.brussels/nl/stripmuren/7585/,https://www.parcoursbd.brussels/wp-content/uploads/2023/07/20230731_111016-710x1536.jpg,Editions Soleil,"[50.894874554648524, 4.390689766752689]"
50.0,https://www.parcoursbd.brussels/fresques/billy-the-cat/,Oppemstraat 24 - 1000 Brussel,Colman et Desberg,Bruxelles - Brussel,Rue d'Ophem 24 - 1000 Bruxelles,Billy the cat,2000,Billy the cat,Art Mural,https://www.parcoursbd.brussels/nl/stripmuren/billy-the-cat/,https://www.parcoursbd.brussels/wp-content/uploads/2021/09/06_billy_the_cat_rue_ophem_01_vb-685x1024.jpg,Dupuis,"[50.853589220561844, 4.344980392872638]"
60.0,https://www.parcoursbd.brussels/fresques/olivier-rameau/,Eikstraat 9 - 1000 Brussel,Dany,Bruxelles - Brussel,Rue du Chêne 9 - 1000 Bruxelles,Roze Bottel,1997,Olivier Rameau,Art Mural,https://www.parcoursbd.brussels/nl/stripmuren/olivier-rameau/,https://www.parcoursbd.brussels/wp-content/uploads/2021/09/20_olivier_rameau_rue_chene_06-768x1024.jpg,"Dany, Editions Joker","[50.84463966553373, 4.350186254341294]"
50.0,https://www.parcoursbd.brussels/fresques/la-patrouille-castors/,Pieremansstraat 47 - Blaesstraat 200 - 1000 Brussel,Mitacq,Bruxelles - Brussel,Rue Pieremans 47 - rue Blaes 200 - 1000 Bruxelles,De Beverpatrouille,2003,La patrouille des Castors,Art Mural,https://www.parcoursbd.brussels/nl/stripmuren/la-patrouille-castors/,https://www.parcoursbd.brussels/wp-content/uploads/2021/09/26_patrouille_castors_rue_pieremans_03-768x1024.jpg,Dupuis,"[50.83555650112281, 4.344937401771187]"
